English	French
how many men have you killed	combien d hommes avez vous tués
he does not need to work	il n a pas besoin de travailler
when i visited their apartment the couple was right in the middle of an argument	comme je venais leur rendre visite à leur domicile le couple était au milieu d une dispute
he made up an excuse	il s inventa une excuse
she insisted that he should stay where he was	elle insista pour qu il reste où il était
tom would not let me call an ambulance so i drove him to the hospital myself	tom a refusé que j appelle une ambulance alors je l ai amené à l hôpital par moi même
people who ignore history tend to repeat it	les personnes qui ignorent l histoire ont tendance à la répéter
he did it for the money	il l a fait pour l argent
my brother bought an electric guitar	mon frère s est acheté une guitare électrique
i am sure that he will succeed	je suis sûr qu il réussira
you could come and live with me	tu pourrais venir vivre avec moi
tom was sitting behind me	tom était assis derrière moi
i used to take a walk every morning	j avais l habitude de faire une balade tous les matins
i am looking for my passport have you seen it	je cherche mon passeport l as tu vu
after the summer holidays the children have to go back to school	après les congés d été les enfants doivent retourner à l école
i am going to miss your cooking	ta cuisine me manquera
you are very brave	vous êtes fort courageuse
now is a great time to buy one of those	ce est le moment idéal pour en acheter
you are always singing	tu chantes tout le temps
the company s insolvency forced it to file for bankruptcy	l insolvabilité de la société l a forcée à déposer son bilan
go through the market	traverse le marché
how did you vote on that matter	comment avez vous voté en cette affaire
as a result prices rose	conséquemment les prix ont augmenté
i do not like it when he does that	je n aime pas qu il fasse cela
he wants only the best	il ne veut que le meilleur
i knew something was up	je savais que quelque chose se tramait
i told you so	je vous l avais dit
i do not know russian	je ne sais pas le russe
let us all remember to be nice	souvenons nous tous d être gentils
i do not want to be treated special	je ne veux pas de traitement particulier
are you ready to begin	êtes vous prêts à vous y mettre
she made him happy	elle l a rendu heureux
do you have a problem	vous avez un problème
would you be willing to help me clean the garage	serais tu prête à m aider à nettoyer le garage
they arrived at the foot of the mountain	elles sont arrivées au pied de la montagne
where can i buy snacks	où puis je acheter des collations
i never thought it would be this bad	je n ai jamais pensé que ce serait aussi mauvais
tom took off his shirt	tom a retiré sa chemise
i am thinking about that matter	je suis en train de penser à cette affaire
a rubber ball bounces because it is elastic	une balle en caoutchouc rebondit parce qu elle est élastique
why do you permit it	pourquoi le tolérez vous
they are both good	elles sont bonnes toutes les deux
tom asked for a discount	tom demanda une ristourne
tom has confidence in his own ability	tom a confiance dans sa capacité
he had trouble breathing	il éprouvait des difficultés à respirer
i am aware of the facts	je suis conscient des faits
have you ever been hypnotized	avez vous déjà été hypnotisé
i just bought some cardboard	je viens d acheter du carton
how are you connected	comment es tu raccordée
you have no idea how important you are to me	tu n as pas idée de combien tu es important pour moi
why do you like squirrels so much	pourquoi aimes tu autant les écureuils
i am not saying that you are not beautiful	je ne dis pas que vous n êtes pas belle
we were astonished to hear what had happened	nous fûmes stupéfaits d entendre ce qui s était passé
sorry for being late	désolée d être en retard
the good die young is an old saying which may or may not be true	les bons meurent jeunes est un vieil adage qui est peut être vrai ou pas
it is nothing short of a miracle	ce ne est rien moins qu un miracle
that s all we are offering	ce est tout ce que nous proposons
i like talking	j aime parler
tom and mary decided to leave	tom et marie décidèrent de partir
you must help your mother	tu dois aider ta mère
i love my home	j adore mon foyer
she did not reply	elle ne répondit pas
i have often heard it said that honesty is the best policy	je ai souvent entendu que l honnêteté est la meilleure ligne de conduite
i was not fast enough	je n ai pas été assez rapide
the plan was a success	le plan était un succès
tom said you were good at chess	tom a dit que tu étais bon aux échecs
you cannot keep us here	vous ne pouvez pas nous garder ici
are you bachelors	êtes vous célibataires
he is so young	il est tellement jeune
i do not feel sorry for you	je ne compatis pas avec toi
i want to apologize	je veux présenter mes excuses
nothing is worse than war	il n y a rien de pire que la guerre
her father died	son père mourut
why do not you answer	pourquoi ne réponds tu pas
i figured i might be able to help	je me suis imaginée que je pourrais être en mesure de donner un coup de main
i do not think she is fit for the job	je ne pense pas qu elle soit faite pour le poste
she passed by without glancing at me	elle est passée sans même me jeter un regard
take what you want	prenez ce que vous voulez
that blow on the head knocked him out cold	ce coup sur la tête l étendit inconscient
she does not want to talk to me now and i do not know why	elle ne veut pas me parler maintenant et je ne sais pas pourquoi
you need a drink	il te faut boire quelque chose
find somebody else	trouve quelqu un d autre
do not make me suffer	ne me faites pas souffrir
please refrain from smoking	abstenez vous de fumer s il vous plait
there are no shortcuts to the top only to the bottom	il n y a pas de raccourcis vers le haut seulement vers le bas
tom could barely walk	tom pouvait à peine marcher
i think tom is still alive	je pense que tom est encore en vie
i did not try to kill anybody	je n ai pas tenté de tuer qui que ce fut
i wish i were rich enough to buy a car like that	je voudrais être assez riche pour acheter une voiture comme cela
there are not any fish living in this river anymore	il n y a plus de poisson vivant dans cette rivière
how can i make him stop	comment puis je faire en sorte qu il cesse
what is it you really want to tell me	que voulez vous vraiment me dire
try not to make him angry	ne cherche pas à l énerver
a lot of people are waiting for tom	de nombreuses personnes sont en train d attendre tom
is everything satisfactory	ce est à votre convenance
can i help you	puis je vous aider
she was almost knocked down by a car	elle faillit être renversée par une voiture
you are not upset are you	tu n es pas contrariée si
my daughter was cheated	ma fille a été trompée
i want to give you a gift	je veux te donner un cadeau
tom and mary make a very nice couple	tom et mary font un très joli couple
i was deeply affected when i heard of his death	je ai été profondément affecté lorsque je ai appris son décès
do you enjoy talking	aimes tu discuter
i received your message	je ai reçu votre message
a young man waited in line to see him	un jeune homme attendait son tour pour le voir
the saying is quite familiar to us	l adage nous est tout à fait familier
i am not talking to you tom	ce ne est pas à vous que je parle tom
i think it is unlikely that the next version of windows will come out before the end of this month	je crois qu il est improbable que la prochaine version de windows sorte avant la fin de ce mois ci
it is sad but true	ce est triste mais ce est la vérité
she is kind	elle est gentille
having finished the work he went to bed	le travail fini il alla au lit
do not let them go to waste	ne les laissez pas être gaspillées
you cannot bury the truth	tu ne peux pas enterrer la vérité
have you been told when you are expected to be here	vous a t on indiqué quand vous êtes attendues ici
do you understand what i am saying to you	comprenez vous ce que je vous dis
i want you to know how sorry i am	je veux que tu saches combien je suis désolé
they have many friends	elles ont beaucoup d amis
the cat is on the table	le chat est sur la table
you need to find another way out of this situation	tu dois trouver une autre issue à cette situation
i cannot tell you how much i appreciate your help	je ne peux pas te dire combien je te suis reconnaissant pour ton aide
hurry up	pressez vous
i still think this is the best choice	je pense encore que ce est le meilleur choix
some continue to work part time while others do volunteer work	certains continuent à travailler à temps partiel tandis que d autres font du bénévolat
all of a sudden i felt a sharp pain in my stomach	tout à coup je ressentis une vive douleur à l estomac
how many did you get	combien en avez vous obtenu
they have enough money	ils disposent d assez d argent
i have no idea how many people will be at the picnic	je n ai aucune idée du nombre de personnes qui viendront au pique nique
days are getting longer	les jours s allongent
my father objected to our marriage	mon père désapprouva notre mariage
do not despise others because they are poor	ne méprisez pas les autres parce qu ils sont pauvres
tom intends to change that	tom a l intention de changer cela
i cannot make myself understood in german	je ne puis me faire comprendre en allemand
could you hand me the remote	pourrais tu me passer la zapette
we will be just fine	ça ira bien pour nous
what foods are you allergic to	à quels aliments êtes vous allergique
let us find tom a nice office	trouvons un beau bureau pour tom
i am glad no one got hurt	je suis heureux que personne n ait été blessé
we are blood brothers	nous sommes frères de sang
i keep saying that i am innocent but no one will listen	je continue de dire que je suis innocent mais personne ne m écoute
she cooks well	elle cuisine bien
did you see anyone	avez vous vu qui que ce soit
the temperature has suddenly dropped	la température a soudainement baissé
i hope you are not alone	j espère que vous n êtes pas seule
she always got up early	elle se levait toujours tôt
gunshot residue was found on tom s hands	des résidus de tirs d arme à feu ont été retrouvés sur les mains de tom
i am joking	je plaisante
i am familiar with the situation	je suis habituée à la situation
this couch is not comfortable	ce canapé ne est pas confortable
i opened the drawer	je ai ouvert le tiroir
i think it is very romantic	je pense que ce est très romantique
it would be better if you did not eat before going to bed	ça serait mieux si tu ne mangeais pas avant d aller au lit
you can go there in a boat	tu peux y aller en bateau
this dictionary is my sister s	ce dictionnaire appartient à ma sœur
how could you not notice	comment pouvais tu ne pas le remarquer
he is more lucky than clever	il est plus chanceux qu intelligent
i am alarmed by your irresponsible attitude	je suis étonné par ton attitude irresponsable
i love the people in this town	j aime les gens dans cette ville
he is drunk	il est ivre
i promise not to sing	je promets de ne pas chanter
does your wife know	votre femme le sait elle
buy me a drink	offrez moi un coup
i thought we could use the cloth napkins	je ai pensé que nous pourrions utiliser les serviettes en tissu
they look healthy	ils ont l air en bonne santé
i regret losing that opportunity	je regrette d avoir manqué cette occasion
give me your money	donne moi ton argent
both teams are unbeaten	les deux équipes sont invaincues
at first everything seemed difficult	au début tout semblait difficile
i will introduce you to my parents	je te présenterai à mes parents
this book contains a lot of photos	ce livre contient beaucoup de photos
have you already voted	avez vous déjà voté
i have never seen anything like this	jamais je n ai vu quoi que ce soit de tel
i am failing at my job	j échoue dans mon travail
i want to find my own place	je veux trouver mon endroit à moi
my gps works very well	mon système de géo localisation fonctionne très bien
a part of this land is mine	une partie de ce terrain est à moi
i just do not want you to get hurt	je ne veux pas que vous soyez blessés un point ce est tout
they say amniotic fluid has roughly the same composition as sea water	on dit que le liquide amniotique est à peu près de la même composition que l eau de mer
i do not believe what i am hearing	je n en crois pas mes oreilles
they paid separately	ils ont payé séparément
there are some differences between british english and american english	il y a des différences entre l anglais britannique et l anglais étatsunien
please do not call the cops	n appelez pas les flics s il vous plaît
not all blondes are dumb	toutes les blondes ne sont pas bêtes
he remains sick in bed	il est malade et alité
i will always be with you	je serai toujours avec toi
that ended better than i expected	cela se termina mieux que je ne m y attendais
tom bought mary many gifts	tom acheta de nombreux cadeaux à marie
tom does not like to be contradicted	tom n aime pas qu on le contredise
i spent the summer vacation at my aunt s house	je ai passé les vacances d été chez ma tante
i am late	je suis en retard
i have not seen you for a while	je ne vous ai pas vues depuis un moment
she is going to learn how to drive	elle va apprendre à conduire
this is non negotiable	ce est non négociable
we were greeted by a cute waitress	nous fûmes accueillis par une ravissante serveuse
here is your bag	ton sac est ici
i do not work here	je ne travaille pas ici
i admire his talent	j admire son talent
i want us to be friends again	je veux que nous soyons à nouveau amies
life has just begun	la vie vient juste de commencer
the law will be effective from the st of april	la loi entrera en vigueur à partir du er avril
are all of them your friends	sont ils tous vos amis
i had some work that needed finishing	je ai eu du travail qu il fallait finir
we finally arrived at the lake	nous sommes finalement parvenus au lac
it is snowing	il neige
you always said you wanted to become a scientist why did not you	vous avez toujours dit que vous vouliez devenir scientifique pourquoi ne l êtes vous pas devenu
he moves quickly	il se meut rapidement
where did you hear that	où avez vous entendu cela
my parents will not let me have a dog	mes parents ne veulent pas que j aie un chien
this camera is the one that tom bought last thursday	cet appareil photo est celui que tom a acheté jeudi dernier
we are classmates	nous sommes des copains de classe
i cannot figure this out	je ne parviens pas à le déchiffrer
you have got to be reasonable about this	il te faut être raisonnable à ce sujet
i promise to work hard	je promets de travailler assidument
you are so sweet	vous êtes si gentilles
as far as i know he has never made such a mistake	pour autant que je sache il n a jamais fait une telle erreur
is not that what i said	ne est ce pas ce que je ai dit
he is your father	il est votre père
keep your room as neat as you can	tenez votre chambre aussi propre que vous pouvez
can they see me	sont elles en mesure de me voir
we are going to wait in the car	nous allons attendre dans la voiture
we know very little about the cause of this disease	nous savons très peu de choses de la cause de cette maladie
he is eager to succeed	il est motivé pour réussir
have you been crying all night your eyes are all puffy	tu as pleuré toute la nuit tes yeux sont gonflés
is anyone going to eat that	quiconque va t il manger ça
i got up at ate some food then went back to sleep	je me suis levée à quatre heures ai mangé un peu de nourriture et puis suis retournée dormir
we danced to the music	nous dansâmes au son de la musique
the workmen arrived early bringing their ladders	les ouvriers sont arrivés tôt en amenant leurs échelles
the parrot is dead	le perroquet est mort
be kind to little animals	soyez bon pour les petits animaux
at present the cause of the disease is unknown	actuellement la cause de la maladie reste inconnue
did i wake you	vous ai je réveillé
you talk too much	vous parlez trop
we are having company	nous avons de la visite
a lot of houses were washed away by the flood	beaucoup de maisons furent balayées par l inondation
tom always wears sunglasses even indoors	tom porte toujours des lunettes de soleil même à l intérieur
come at any time you like	venez quand vous voulez
it is a fast growing city	ce est une ville à croissance rapide
i am no saint	je ne suis pas une sainte
are you hiring	embauches tu
please reconsider	veuillez encore y réfléchir
we tried to cheer him up	nous essayâmes de lui remonter le moral
you saved us all	vous nous avez tous sauvés
give me back my hat	rends moi mon chapeau
it is so noisy here i cannot hear myself think	ce est si bruyant ici que je n arrive pas à m entendre penser
tom has a lot of money	tom a beaucoup d argent
i still have a lot of questions i want to ask you	je ai encore beaucoup de questions que je veux te poser
under no circumstances can we accept checks	en aucune circonstance nous ne pouvons accepter les chèques
you are not allowed to eat those	vous n êtes pas autorisées à manger ceux là
tom s not a nice guy	tom ne est pas un type sympa
is there something in particular that you want to eat	y a t il quelque chose de particulier que tu veuilles manger
you are not alone anymore	vous n êtes plus seule
i know an american girl who speaks japanese very well	je connais une fille américaine qui parle très bien le japonais
you do not need to be in such a hurry	il ne est pas nécessaire que tu sois si pressé
the wind has abated	le vent a molli
do you like it all	apprécies tu tout ça
he attributed his success to good luck	il a attribué son succès à la bonne fortune
it is dangerous to jump off a moving train	il est dangereux de sauter d un train en marche
i know your mom does not want you to talk to me	je sais que ta mère ne veut pas que tu me parles
at the next intersection take a right	à la prochaine intersection piquez à droite
is not that true	ne est ce pas vrai
i am behind him	je suis derrière lui
honesty i believe is the best policy	l honnêteté je pense est la meilleure stratégie
i know you did not really want to come on this trip	je sais que tu ne voulais pas vraiment te joindre à ce voyage
you cannot tell anyone about this	tu ne peux raconter ça à personne
i think you and tom have more in common than you want to admit	je pense que toi et tom avez plus en commun que vous ne voulez bien l admettre
we made it	nous l avons fait
in our next class we will study the days of the week the months and the seasons	dans notre prochain cours nous allons étudier les jours de la semaine les mois et les saisons
i asked her to marry me and she accepted	je lui demandai de m épouser et elle accepta
i have got to get going	il faut que j y aille
tom died trying to save a child from a burning building	tom est mort en essayant de sauver un enfant d un bâtiment en feu
this is what we want to know	c est ce que nous voulons savoir
you must start at once	tu dois commencer immédiatement
my significant other works at a language school and loves it very much	ma moitié travaille dans une école de langues et adore vraiment ça
let go of the rope	lâche la corde
i just do not want to go with you	je ne veux simplement pas aller avec toi
i was forced to do it	je ai été forcée à le faire
we succeeded	nous avons réussi
do you read me	m entendez vous
are you saying that s not true	es tu en train de dire que ce ne est pas vrai
i suppose i d do the same thing if i were you	je suppose que je ferais la même chose si j étais à votre place
there s no need to speak so loud	il ne est pas nécessaire de parler si fort
you remind me of my daughter	tu me rappelles ma fille
you are a good person	tu es une chouette gonzesse
do not make stupid jokes	ne faites pas de plaisanteries stupides
i did not volunteer	je n ai pas proposé ma participation
do you have any idea who wrote this book	est ce que tu sais qui a écrit ce livre
i do not want to play	je ne veux pas jouer
i would rather go to the art museum than to the movie theater	je préfère aller au musée des arts plutôt qu au cinéma
i am a respectable businessman	je suis un homme d affaires respectable
i am slightly hungry	je ai légèrement faim
he was the last to leave	il fut le dernier à partir
they climbed to the top of a cliff	ils escaladèrent jusqu en haut de la falaise
the team was quite nervous before the game	l équipe était assez nerveuse avant la partie
could you show me how to do that	pourriez vous me montrer comment faire cela
would you come here a moment	voudrais tu venir ici un instant
it is not that bad	ce ne est pas aussi mauvais que cela
she was wearing a blue coat	elle portait un manteau bleu
i prefer coffee to tea	je préfère le café au thé
i d like to take a closer look at that	j aimerais regarder ça de plus près
tom would not understand	tom ne voudrait pas comprendre
he bit his lip	il s est mordu la lèvre
she sat next to him wishing she were somewhere else	elle s assit près de lui en souhaitant être ailleurs
i do not know how long it ll take	je ne sais pas combien de temps cela prendra
do you have anything to eat	avez vous quoi que ce soit à manger
i want you to go to your room and pack your things	je veux que tu ailles dans ta chambre et que tu emballes tes affaires
what s the whole story	quelle est toute l histoire
they live downstairs	elles vivent en dessous
you are too tense	tu es trop tendu
do not be so careless	ne sois pas si négligente
it means a lot to me to know that you want me to stay	savoir que tu veux que je reste veut dire beaucoup pour moi
this place is arguably the best restaurant in london	on dit que cet endroit est le meilleur restaurant de londres
you have been cleared of all charges	vous avez été lavé de tout soupçon
i missed the point of the joke	je n ai pas saisi le sens de la blague
i sincerely hope things improve for you	j espère sincèrement que les choses vont aller mieux pour vous
we cannot see anything	nous n arrivons à rien voir
tom loves singing	tom aime chanter
this came for you this morning	ce est arrivé ce matin pour vous
tom put the screws in a small plastic bag	tom a mis les vis dans un petit sac en plastique
oh did not i mention it	oh n en ai je pas fait mention
i belong here	ce est ici que est ma place
happy thanksgiving	joyeux thanksgiving
does that work for you	cela fonctionne t il pour toi
are you planning to take part in the meeting	prévoyez vous de participer à la réunion
no one had anything left to say	personne n avait plus rien à dire
i do not know what you really want	je ne sais pas ce que tu veux vraiment
she made jam from the apples	elle fit de la confiture avec les pommes
i bought you a gift	je vous ai acheté un cadeau
get on the bus	grimpez dans le bus
i could not find it	je ne pus le trouver
that s how he invented the machine	ce est ainsi qu il inventa la machine
what have you done to yourself	que t es tu fait
you have come too early	vous êtes venu trop tôt
are you sisters	êtes vous sœurs
i am not sure about that	je n en suis pas sûr
do i look like a plumber	ai je l air d un plombier
i withdrew my application	je ai retiré ma candidature
i think she made up that story	je crois qu elle a inventé cette histoire
mt fuji is higher than any other mountain in japan	le mont fuji est la plus haute des montagnes du japon
i told her to sit down and to drink a glass of water	je lui dis de s asseoir et de boire un verre d eau
no news is good news	pas de nouvelles bonnes nouvelles
they lost again	elles ont perdu à nouveau
put some clothes on	mets des vêtements
he lives in this neighborhood	il vit dans le voisinage
i think that i was followed by someone	je pense que je ai été suivi par quelqu un
this book is old	ce livre est vieux
i am not good enough for tom	je ne suis pas assez bien pour tom
my tight wad husband took me to mcdonald s for our anniversary	mon fauché de mari m a emmenée au macdo pour notre anniversaire
he said nothing	il ne dit rien
thanks for joining us	merci de vous joindre à nous
they live downstairs	elles vivent en bas
i do not think that you should worry about it too much	je ne pense pas que tu devrais te faire trop de bile à ce sujet
he is a man of few words but he always keeps his promise	ce est un homme qui parle peu mais qui tient toujours ses promesses
the actress is learning her lines	l actrice apprend son texte
i d help you if i could	je t aiderais si je le pouvais
i cannot control what happens	je ne peux pas contrôler ce qui se passe
he attempted suicide	il a fait une tentative de suicide
why do you want to study abroad	pourquoi veux tu étudier à l étranger
do not let the grass grow under your feet	ne laisse pas l herbe te pousser sous les pieds
they are in the shower	elles sont sous la douche
tom loves his work	tom aime son travail
you are funny	vous êtes marrantes
draw a straight line	dessine une ligne droite
they walked down the street singing a song	elles descendirent la rue en chantant une chanson
i cannot continue to ignore the problem	je ne peux pas continuer à ignorer le problème
i did not need to paint the fence	je n eus pas besoin de peindre la palissade
where s my box of chocolates	où est ma boîte de pralines
is this the dictionary you are looking for	est ce là le dictionnaire que tu cherches
you are too suspicious about everything	vous êtes trop suspicieux de tout
why would not you let me tell you what happened	pourquoi ne me laissez vous pas vous dire ce qui est arrivé
which do you like better the sea or the mountains	que préférez vous la mer ou la montagne
tom took my money	tom a pris mon argent
the mountain is covered with snow	la montagne est recouverte de neige
i have to tell him something	je dois lui dire quelque chose
i could hear everything	je pourrais tout entendre
i do not know if i will be able to help you on monday	je ne sais pas si je serai en mesure de vous aider lundi
were you able to solve the problem	avez vous été en mesure de résoudre le problème
you are such a liar	quel menteur vous faites
i had to go	je devais y aller
he absconded with the money	il disparut avec l argent
fate taught me a hard lesson	le sort me réserva une solide leçon
this does not fit	ça ne est pas la bonne taille
what did they bring me	que m ont elles apporté
what does it contain	que contient il
no one speaks this language anymore	personne ne parle plus cette langue
a rose smells sweet	une rose ça sent bon
i d like to talk to you about what happened	j aimerais m entretenir avec vous de ce qui a eu lieu
how tall you are	comme vous êtes grandes
i am rational	je suis rationnel
guess what happened to me	devine ce qui m est arrivé
tom s arm brushed against mine	le bras de tom a frôlé le mien
he has a point	il marque un point
and now you wish perhaps to learn on less familiar traps	et maintenant vous désirez peut être en apprendre plus sur des pièges moins répandus
i have been out of town	je n étais pas en ville
i only quit because you asked me to	je n ai arrêté que parce que vous me l avez demandé
tom no longer trusts anyone	tom ne croit plus personne
i do not need you to take care of me	je n ai pas besoin que tu prennes soin de moi
wait just a moment	attends juste un instant
look at that mountain	regardez cette montagne
we want to measure your blood pressure	nous souhaitons mesurer votre tension artérielle
the room is covered with dust	la pièce est couverte de poussière
i just need to be alone	je ai simplement besoin d être seul
if a man had sheep and all but died how many sheep would he have left	si un homme avait onze moutons et que tous sauf neuf mourraient combien de moutons lui resterait il
i belong to the sailing club	j appartiens au cercle nautique
forget about her	oublie la
i am really glad you are here	je me réjouis vraiment que tu sois là
she still hated him even after he died	elle a continué à le haïr même après sa mort
where are you all going	où allez vous tous
what you said makes absolutely no sense to me	ce que tu as dit n a pour moi absolument aucun sens
did you go out	es tu sorti
what re you good at	à quoi es tu bon
i can swim as well as you	je sais nager aussi bien que vous
it is up to you	ça dépend de toi
i will come and see you later	je viendrai vous voir plus tard
i forgot to write the address on the envelope	je ai oublié d écrire l adresse sur l enveloppe
i am not always free on sundays	je ne suis pas toujours libre le dimanche
she took me under her wing and taught me everything she knows	elle me prit sous son aile et m enseigna tout ce qu elle savait
she has a large mansion	elle possède une grande propriété
he remained silent the whole time	il est resté silencieux tout le temps
i did not even know that my car had been stolen	j ignorais même que ma voiture avait été volée
i need friends	je ai besoin d amis
tie your shoelaces	noue tes lacets
where did you have your suit made	où as tu fait faire ton costume
dating is exhausting	sortir avec des filles est épuisant
you d be perfect for that	tu serais parfaite pour ça
tom is thinking about getting married	tom pense à se marier
i d like to thank you both	je voudrais vous remercier tous les deux
i think it is time for me to confront that problem	je pense qu il est temps pour moi d affronter ce problème
do you want us to take you with us	voulez vous que nous vous emmenions avec nous
how did you know all that	comment saviez vous tout cela
i think you ought to rest a while	je pense que vous devriez vous reposer un moment
the new engine must undergo all the necessary tests	le nouveau moteur doit subir tous les tests nécessaires
she used skype frequently because she was overseas	comme elle était à l étranger elle téléphonait fréquemment avec skype
she ate her dinner	elle mangea son souper
i cannot just stay here	je ne me résous pas à juste rester ici
i can teach you my language	je peux t enseigner ma langue
how do you define success	comment définis tu le succès
i cannot imagine why	je n arrive pas à imaginer pourquoi
i may have told you such a thing but i do not remember it at all	je ai pu te dire une telle chose mais je ne m en rappelle plus du tout
i have not had a barbecue for a long time	je n ai pas mangé de barbecue depuis longtemps
tom cannot see anything without his glasses	tom ne voit rien sans ses lunettes
i do my homework after school	je fais mes devoirs après l école
would you please explain the rules to me	pourriez vous m expliquer les règles
i gave in to temptation and began to smoke a cigarette	je cédais à la tentation et me mis à fumer une cigarette
nobody wants to do that	personne ne veut le faire
i cannot tell you how angry that makes me	je ne peux te dire combien cela m énerve
do you have a ticket	as tu un ticket
she refused my invitation	elle déclina mon invitation
tom made me go against my will	tom m a fait venir contre ma volonté
they make good use of their rooms	ils utilisent leurs chambres à bon escient
do you have a twitter account	as tu un compte twitter
i will do whatever you ask	je ferai tout ce que vous demandez
where is this train going	vers où va ce train
to tell the truth i do not like him	pour dire vrai je ne l aime pas
whose clock is it	à qui est cette horloge
who is your teacher	qui est ton institutrice
beautiful woman is not she	belle femme ne est ce pas
tom cannot see mary from where he is	tom ne peut pas voir mary de là où il est
i hope this data is wrong	j espère que ces données sont fausses
i understood	je ai compris
they have just arrived	ils viennent juste d arriver
they each received a present	chacune d elles a reçu un cadeau
i told you before that i am not interested in hanging out with you	je t ai dit auparavant que je ne suis pas intéressée par sortir avec toi
do you have some milk	avez vous un peu de lait
i am very concerned about her illness	je m inquiète beaucoup de sa maladie
do not you ever say that again	ne répétez plus jamais ça
i think i know why you are here	je pense savoir pourquoi vous êtes ici
i do not know what to feed my dog	je ne sais pas quoi donner à manger à mon chien
she is not afraid to die	elle n a pas peur de mourir
we still have to look for the hook	il nous reste à chercher l hameçon
let us not pretend otherwise	ne faisons pas semblant qu il en va autrement
tom does not know how to milk a cow	tom ne sait pas traire une vache
she sent him a message	elle lui envoya un message
a good idea came to him	il lui vint une bonne idée
i give you my word	je te donne ma parole
to know oneself is not easy	se connaître soi même ne est pas simple
slow down	ralentissez
i am sorry i will do anything to make this right	je suis désolée je ferai n importe quoi pour réparer cela
are you through with the newspaper	en avez vous terminé avec le journal
no one disagreed	personne n a été en désaccord
tom means what he says	tom pense ce qu il dit
do you want to get us both killed	voulez vous que nous nous fassions tuer tous les deux
president barack obama praised poland as an example for aspiring democracies in the middle east and elsewhere	le président barack obama a loué la pologne comme exemple pour les démocraties en devenir au moyen orient et ailleurs
you may use my typewriter	vous pouvez utiliser ma machine à écrire
we play games together	nous jouons à des jeux ensemble
i will leave that to you	je vous la laisse
that place is always packed	cet endroit est toujours bondé
you are very talented	vous êtes fort talentueuse
tom could not help showing off	tom ne pouvait s empêcher de frimer
tom has a wonderful voice	tom a une voix magnifique
i am sorry my father is out	je suis désolée mon père est sorti
do not stick your nose where it does not belong	ne fourre pas le nez dans un vase étranger
you look depressed did something happen	tu as l air déprimée quelque chose est il survenu
it is my fault that the cake was burned i was talking on the phone and did not notice the time	le gâteau a brûlé par ma faute j étais au téléphone et n ai pas fait attention à l heure
tom is not a lazy child	tom ne est pas un enfant fainéant
i cannot accept your present	je ne puis accepter ton cadeau
you were terrified were not you	vous étiez terrifié ne est ce pas
let us wish tom all the best	souhaitons nos meilleurs voeux à tom
you ruined everything	tu as tout fait foirer
i want you to think about this	je veux que tu y réfléchisses
tom spends too much time on the computer	tom passe trop de temps sur l ordinateur
that might change things	ça pourrait changer les choses
my son likes books about animals	mon fils aime les livres sur les animaux
can you cash these for me	pouvez vous encaisser ceux ci pour moi
my association with him did not last long	notre association ne dura pas longtemps
do you have enough energy	avez vous assez d énergie
he is deep in debt	il est endetté jusqu au cou
no one was there	personne n y était
do not ask what they think ask what they do	ne demandez pas ce qu ils pensent demandez ce qu ils font
this winter is warm	l hiver est doux cette année
this story is worth reading	cette histoire vaut la peine d être lue
the ice gave way under his weight	la glace a cédé sous son poids
i got up early in the morning	je me levais tôt le matin
we agreed on a price	nous nous sommes accordées sur un prix
he sold all that he owned	il vendit tout ce qu il possédait
he said let us take a walk along the river	allons marcher le long de la rivière dit il
would you like to travel abroad	aimerais tu voyager à l étranger
i want to go home and sleep	je veux aller chez moi et dormir
you d better go home at once	vous feriez mieux d aller chez vous immédiatement
you had better ask the doctor for advice	tu ferais mieux de prendre conseil auprès d un médecin
she pleaded with him to not leave	elle l implora de ne pas partir
young men such as you are needed for this work	ce sont de jeunes hommes comme vous qu il nous faut pour ce travail
the child came aboard the plane in a good mood	l enfant monta dans l avion de bonne humeur
i felt like reading the detective story	j avais envie de lire le roman policier
do not say that word ever again	ne prononcez plus jamais ce mot
i am not hurt	je ne suis pas blessé
i thought you were taller	je pensais que tu étais plus grande
it is getting dark outdoors	il se fait sombre dehors
i disagree with you on this	je ne suis pas de accord avec toi là dessus
give me a hug	serre moi dans tes bras
i will go	j irai
i certainly would like a refund	je voudrais certainement un remboursement
she failed to understand a single word	elle n a pas réussi à comprendre un seul mot
i am sorry but i am busy right now	je suis désolé mais pour l instant je suis occupé
yeast makes beer ferment	la levure constitue le ferment de la bière
tom is married	tom est marié
i have nothing particular to do	je n ai rien de particulier à faire
the result was disappointing	le résultat fut décevant
do not ask for money	ne demandez pas d argent
do you have a family	as tu une famille
she seems to have something to do with the affair	il semble qu elle ait quelque chose à voir avec cette affaire
there were some unexpected questions	il y avait quelques questions inattendues
i cannot figure out why he did not tell the truth	je n arrive pas à me figurer pourquoi il n a pas dit la vérité
where did you hear that	où as tu entendu ça
i have not got all day you know	je n ai pas toute la journée tu sais
why do not you come over and eat with us this evening	pourquoi ne venez vous pas ici manger avec nous ce soir
i d rather not talk about it if you do not mind	je préfère ne pas en parler si tu veux bien
the confederate flag was lowered	le drapeau des confédérés fut amené
trade between two countries can be complex	les échanges commerciaux entre pays peuvent être complexes
we are still involved	nous sommes toujours engagées
close the door when you leave	ferme la porte en sortant
he dislikes me	il éprouve de l antipathie à mon égard
change is important	le changement est important
